price,sqft_living,condition,grade
221900,1180,3,7
538000,2570,3,7
180000,770,3,6
604000,1960,5,7
510000,1680,3,8
1225000,5420,3,11
257500,1715,3,7
291850,1060,3,7
229500,1780,3,7
323000,1890,3,7
662500,3560,3,8
468000,1160,4,7
310000,1430,4,7
400000,1370,4,7
530000,1810,3,7
650000,2950,3,9
395000,1890,3,7
485000,1600,4,7
189000,1200,4,7
230000,1250,4,7
385000,1620,4,7
2000000,3050,3,9
285000,2270,3,8
252700,1070,3,7
329000,2450,4,8
233000,1710,5,6
937000,2450,3,8
667000,1400,5,8
438000,1520,3,7
719000,2570,3,8
580500,2320,3,8
280000,1190,3,7
687500,2330,4,7
535000,1090,4,8
322500,2060,3,7
696000,2300,3,8
550000,1660,1,5
640000,2360,4,8
240000,1220,2,7
605000,2620,3,8
625000,2570,3,9
775000,4220,3,8
861990,3595,3,9
685000,1570,3,7
309000,1280,4,6
488000,3160,3,8
210490,990,3,6
785000,2290,4,9
450000,1250,4,7
1350000,2753,5,9
228000,1190,3,7
345000,3150,4,8
600000,1410,4,7
585000,1980,3,7
920000,2730,3,8
885000,2830,3,9
292500,2250,3,7
301000,2420,3,8
951000,3250,4,8
430000,1850,3,8
650000,2150,4,8
289000,1260,3,7
505000,2519,5,8
549000,1540,3,8
425000,1660,3,7
317625,2770,5,7
975000,2720,3,10
287000,2240,3,7
204000,1000,4,7
1325000,3200,3,8
1040000,4770,4,11
325000,1260,4,7
571000,2750,5,7
360000,2380,3,8
349000,1790,5,7
832500,3430,4,10
380000,1760,3,7
480000,1040,3,7
410000,1410,4,7
720000,3450,3,10
390000,2350,3,8
360000,1900,3,7
355000,2020,3,7
356000,1680,3,8
315000,960,3,6
940000,2140,3,9
305000,2660,5,7
461000,2770,3,9
215000,1610,4,7
335000,1030,3,7
243500,1980,3,7
1099880,3520,4,10
153000,1200,3,7
430000,1580,3,8
700000,1580,3,8
905000,3300,3,7
247500,1960,3,7
199000,1160,4,7
314000,1810,5,7
437500,2320,3,9
850830,2070,5,9
555000,1980,4,7
699950,2190,4,8
1088000,2920,3,8
290000,1210,3,7
375000,2340,4,8
460000,1670,4,7
188500,1240,4,8
680000,3140,4,10
470000,2030,4,7
597750,2310,3,8
570000,1260,5,6
272500,1540,4,7
329950,2080,3,7
480000,3230,3,9
740500,4380,3,8
518500,1590,3,8
205425,880,4,6
171800,1570,3,6
535000,1610,4,7
660000,2400,3,8
391500,1450,3,7
395000,770,3,6
